"No.","Time","Source","Destination","Protocol","Length","Info","Delta"
"1000","35.419439533","192.168.169.2","192.168.169.1","UDP","130","57664  >  8800 Len=4","ef000400"
"1007","35.524506477","192.168.169.2","192.168.169.1","UDP","130","57664  >  8800 Len=4","ef000400"
"1117","35.593868193","192.168.169.2","192.168.169.1","UDP","214","57664  >  8800 Len=88","ef025800020200010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"1119","35.602515463","192.168.169.2","192.168.169.1","UDP","214","57664  >  8800 Len=88","ef025800020200010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"1122","35.630431605","192.168.169.2","192.168.169.1","UDP","132","57664  >  8800 Len=6","ef2006000165"
"1123","35.630435155","192.168.169.2","192.168.169.1","UDP","254","57664  >  8800 Len=128","ef028000020200010200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d000001000000000000000100000018000000ffffffffffffffff02000000000000000300000010000000"
"1129","35.637438149","192.168.169.2","192.168.169.1","UDP","151","57664  >  8800 Len=25","ef20190001673c693d325e62665f737369643d636d643d323e"
"1130","35.637451232","192.168.169.2","192.168.169.1","UDP","151","57664  >  8800 Len=25","ef20190001673c693d325e62665f737369643d636d643d333e"
"1132","35.658100167","192.168.169.2","192.168.169.1","UDP","254","57664  >  8800 Len=128","ef028000020200010200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d000001000000000000000100000018000000ffffffffffffffff02000000000000000300000010000000"
"1134","35.678421586","192.168.169.2","192.168.169.1","UDP","254","57664  >  8800 Len=128","ef028000020200010200000001000000080066808080804040990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d000001000000000000000100000018000000ffffffffffffffff02000000000000000300000010000000"
"1136","35.705151555","192.168.169.2","192.168.169.1","UDP","254","57664  >  8800 Len=128","ef028000020200010200000001000000080066808080804040990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d000001000000000000000100000018000000ffffffffffffffff02000000000000000300000010000000"
"1140","35.729336243","192.168.169.2","192.168.169.1","UDP","254","57664  >  8800 Len=128","ef028000020200010200000002000000080066808080804040990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d000001000000000000000100000018000000ffffffffffffffff02000000000000000300000010000000"
"1145","35.757297275","192.168.169.2","192.168.169.1","UDP","254","57664  >  8800 Len=128","ef028000020200010200000002000000080066808080804040990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d000001000000000000000100000018000000ffffffffffffffff02000000000000000300000010000000"
"1149","35.780700200","192.168.169.2","192.168.169.1","UDP","254","57664  >  8800 Len=128","ef028000020200010200000003000000080066808080804040990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d000001000000000000000100000018000000ffffffffffffffff02000000000000000300000010000000"
"1297","35.821550540","192.168.169.2","192.168.169.1","UDP","214","57664  >  8800 Len=88","ef025800020200010000000003000000080066808080804040990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"1404","35.861276873","192.168.169.2","192.168.169.1","UDP","214","57664  >  8800 Len=88","ef025800020200010000000004000000080066808080804040990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"1405","35.861281844","192.168.169.2","192.168.169.1","UDP","242","57664  >  8800 Len=116","ef027400020200010100000004000000080066808080804040990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00000200000000000000010000001c000000ffffffffffffffffffffffff"
"1406","35.861369691","192.168.169.2","192.168.169.1","UDP","214","57664  >  8800 Len=88","ef025800020200010000000004000000080066808080804040990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"1407","35.861372277","192.168.169.2","192.168.169.1","UDP","242","57664  >  8800 Len=116","ef027400020200010100000004000000080066808080804040990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00000200000000000000010000001c000000ffffffffffffffffffffffff"
"1413","35.884665414","192.168.169.2","192.168.169.1","UDP","270","57664  >  8800 Len=144","ef029000020200010200000005000000080066808080804040990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00000200000000000000010000001c000000ffffffffffffffffffffffff0300000000000000000000001c000000ffffffffff03000000f0ffff"
