"No.","Time","Source","Destination","Protocol","Length","Info","Delta"
"25817","9.081092958","192.168.169.4","192.168.169.1","UDP","242","41962  >  8800 Len=116","ef02740002020001010000009d000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00007e01000000000000010000001c000000ffffffffffffffffffffffff"
"25933","9.110602945","192.168.169.4","192.168.169.1","UDP","214","41962  >  8800 Len=88","ef02580002020001000000009e000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"26058","9.141724663","192.168.169.4","192.168.169.1","UDP","242","41962  >  8800 Len=116","ef02740002020001010000009e000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00007f01000000000000010000001c000000ffffffffffffffffffffffff"
"26109","9.157490586","192.168.169.4","192.168.169.1","UDP","242","41962  >  8800 Len=116","ef02740002020001010000009f000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00007f01000000000000010000001c000000ffffffffffffffffffffffff"
"26141","9.201040823","192.168.169.4","192.168.169.1","UDP","214","41962  >  8800 Len=88","ef02580002020001000000009f000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"26361","9.260719208","192.168.169.4","192.168.169.1","UDP","242","41962  >  8800 Len=116","ef0274000202000101000000a0000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00008001000000000000000000001c000000ffffff1f00000000e0ffffff"
"26362","9.260729583","192.168.169.4","192.168.169.1","UDP","214","41962  >  8800 Len=88","ef0258000202000100000000a0000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"26364","9.260742245","192.168.169.4","192.168.169.1","UDP","242","41962  >  8800 Len=116","ef0274000202000101000000a1000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00008001000000000000010000001c000000ffffffffffffffffffffffff"
"26371","9.261995961","192.168.169.4","192.168.169.1","UDP","242","41962  >  8800 Len=116","ef0274000202000101000000a0000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00008001000000000000000000001c000000ffffff1f00000000e0ffffff"
"26372","9.262000391","192.168.169.4","192.168.169.1","UDP","214","41962  >  8800 Len=88","ef0258000202000100000000a0000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"26374","9.262014058","192.168.169.4","192.168.169.1","UDP","242","41962  >  8800 Len=116","ef0274000202000101000000a1000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00008001000000000000010000001c000000ffffffffffffffffffffffff"
"26474","9.315219122","192.168.169.4","192.168.169.1","UDP","242","41962  >  8800 Len=116","ef0274000202000101000000a1000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00008101000000000000000000001c000000ffff3f0000000000f0ffffff"
"26475","9.315221000","192.168.169.4","192.168.169.1","UDP","270","41962  >  8800 Len=144","ef0290000202000102000000a2000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00008101000000000000000000001c000000ffff3f0000000000f0ffffff8001000000000000010000001c000000ffffffffffffffffffffffff"
"26582","9.346150009","192.168.169.4","192.168.169.1","UDP","214","41962  >  8800 Len=88","ef0258000202000100000000a2000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"26774","9.576662554","192.168.169.4","192.168.169.1","UDP","214","41962  >  8800 Len=88","ef0258000202000100000000a7000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"26882","9.619805427","192.168.169.4","192.168.169.1","UDP","214","41962  >  8800 Len=88","ef0258000202000100000000a7000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"26895","9.623969859","192.168.169.4","192.168.169.1","UDP","214","41962  >  8800 Len=88","ef0258000202000100000000a7000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"26896","9.624094648","192.168.169.4","192.168.169.1","UDP","214","41962  >  8800 Len=88","ef0258000202000100000000a8000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"27216","9.744920877","192.168.169.4","192.168.169.1","UDP","258","41962  >  8800 Len=132","ef0284000202000102000000a9000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00008201000000000000010000001c000000ffffffffffffffffffffffff83010000000000000300000010000000"
"27217","9.744921638","192.168.169.4","192.168.169.1","UDP","242","41962  >  8800 Len=116","ef0274000202000101000000aa000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00008201000000000000010000001c000000ffffffffffffffffffffffff"
"27224","9.746480142","192.168.169.4","192.168.169.1","UDP","258","41962  >  8800 Len=132","ef0284000202000102000000a9000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00008201000000000000010000001c000000ffffffffffffffffffffffff83010000000000000300000010000000"
"27225","9.746480742","192.168.169.4","192.168.169.1","UDP","242","41962  >  8800 Len=116","ef0274000202000101000000aa000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00008201000000000000010000001c000000ffffffffffffffffffffffff"
"27329","9.779209426","192.168.169.4","192.168.169.1","UDP","242","41962  >  8800 Len=116","ef0274000202000101000000aa000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00008201000000000000010000001c000000ffffffffffffffffffffffff"
"27331","9.780070906","192.168.169.4","192.168.169.1","UDP","242","41962  >  8800 Len=116","ef0274000202000101000000aa000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00008201000000000000010000001c000000ffffffffffffffffffffffff"
"27333","9.780084454","192.168.169.4","192.168.169.1","UDP","214","41962  >  8800 Len=88","ef0258000202000100000000ab000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"27334","9.781407981","192.168.169.4","192.168.169.1","UDP","242","41962  >  8800 Len=116","ef0274000202000101000000aa000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00008201000000000000010000001c000000ffffffffffffffffffffffff"
"27336","9.781421827","192.168.169.4","192.168.169.1","UDP","214","41962  >  8800 Len=88","ef0258000202000100000000ab000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"27340","9.802429995","192.168.169.4","192.168.169.1","UDP","242","41962  >  8800 Len=116","ef0274000202000101000000ab000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00008301000000000000000000001c000000ffffffffffff3f00f0ffffff"
"27503","9.845831043","192.168.169.4","192.168.169.1","UDP","242","41962  >  8800 Len=116","ef0274000202000101000000ac000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00008301000000000000010000001c000000ffffffffffffffffffffffff"
"27555","9.857788243","192.168.169.4","192.168.169.1","UDP","242","41962  >  8800 Len=116","ef0274000202000101000000ac000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00008301000000000000010000001c000000ffffffffffffffffffffffff"
"27654","9.890094501","192.168.169.4","192.168.169.1","UDP","214","41962  >  8800 Len=88","ef0258000202000100000000ad000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"27655","9.890792389","192.168.169.4","192.168.169.1","UDP","214","41962  >  8800 Len=88","ef0258000202000100000000ad000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"27658","9.892368961","192.168.169.4","192.168.169.1","UDP","214","41962  >  8800 Len=88","ef0258000202000100000000ad000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"27661","9.892687716","192.168.169.4","192.168.169.1","UDP","214","41962  >  8800 Len=88","ef0258000202000100000000ad000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"27668","9.896163862","192.168.169.4","192.168.169.1","UDP","214","41962  >  8800 Len=88","ef0258000202000100000000ad000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
