"No.","Time","Source","Destination","Protocol","Length","Info","Delta"
"56","1.236566481","192.168.169.2","192.168.169.1","UDP","130","43880  >  8800 Len=4","ef000400"
"61","1.339400302","192.168.169.2","192.168.169.1","UDP","130","43880  >  8800 Len=4","ef000400"
"249","1.471168359","192.168.169.2","192.168.169.1","UDP","130","43880  >  8800 Len=4","ef000400"
"342","1.548264836","192.168.169.2","192.168.169.1","UDP","214","43880  >  8800 Len=88","ef025800020200010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"360","1.555006003","192.168.169.2","192.168.169.1","UDP","242","43880  >  8800 Len=116","ef027400020200010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00000100000000000000000000001c000000ff0f000000000000e0ffffff"
"462","1.579446841","192.168.169.2","192.168.169.1","UDP","214","43880  >  8800 Len=88","ef025800020200010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"502","1.592524497","192.168.169.2","192.168.169.1","UDP","132","43880  >  8800 Len=6","ef2006000165"
"518","1.597916456","192.168.169.2","192.168.169.1","UDP","151","43880  >  8800 Len=25","ef20190001673c693d325e62665f737369643d636d643d323e"
"520","1.598213389","192.168.169.2","192.168.169.1","UDP","151","43880  >  8800 Len=25","ef20190001673c693d325e62665f737369643d636d643d333e"
"522","1.605352578","192.168.169.2","192.168.169.1","UDP","242","43880  >  8800 Len=116","ef027400020200010100000001000000080066808080804040990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00000100000000000000010000001c000000ffffffffffffffffffffffff"
"523","1.605792953","192.168.169.2","192.168.169.1","UDP","242","43880  >  8800 Len=116","ef027400020200010100000001000000080066808080804040990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00000100000000000000010000001c000000ffffffffffffffffffffffff"
"531","1.631714177","192.168.169.2","192.168.169.1","UDP","270","43880  >  8800 Len=144","ef029000020200010200000001000000080066808080804040990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00000100000000000000010000001c000000ffffffffffffffffffffffff0200000000000000000000001c000000ffffff0100000000f0ffffff"
"537","1.658215969","192.168.169.2","192.168.169.1","UDP","242","43880  >  8800 Len=116","ef027400020200010100000002000000080066808080804040990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00000100000000000000010000001c000000ffffffffffffffffffffffff"
"541","1.684396513","192.168.169.2","192.168.169.1","UDP","270","43880  >  8800 Len=144","ef029000020200010200000002000000080066808080804040990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00000100000000000000010000001c000000ffffffffffffffffffffffff0200000000000000000000001c000000ffffff0f00000000f0ffffff"
"622","1.710312901","192.168.169.2","192.168.169.1","UDP","214","43880  >  8800 Len=88","ef025800020200010000000003000000080066808080804040990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"623","1.710568290","192.168.169.2","192.168.169.1","UDP","214","43880  >  8800 Len=88","ef025800020200010000000003000000080066808080804040990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"630","1.712116750","192.168.169.2","192.168.169.1","UDP","214","43880  >  8800 Len=88","ef025800020200010000000003000000080066808080804040990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"729","1.737370157","192.168.169.2","192.168.169.1","UDP","242","43880  >  8800 Len=116","ef027400020200010100000003000000080066808080804040990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00000200000000000000010000001c000000ffffffffffffffffffffffff"
"816","1.763019691","192.168.169.2","192.168.169.1","UDP","242","43880  >  8800 Len=116","ef027400020200010100000004000000080066808080804040990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00000300000000000000010000001c000000ffffffffffffffffffffffff"
"824","1.788872096","192.168.169.2","192.168.169.1","UDP","242","43880  >  8800 Len=116","ef027400020200010100000004000000080066808080804040990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00000300000000000000010000001c000000ffffffffffffffffffffffff"
"922","1.815879866","192.168.169.2","192.168.169.1","UDP","214","43880  >  8800 Len=88","ef025800020200010000000005000000080066808080804040990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"1022","1.841082065","192.168.169.2","192.168.169.1","UDP","242","43880  >  8800 Len=116","ef027400020200010100000005000000080066808080804040990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00000400000000000000010000001c000000ffffffffffffffffffffffff"
"1118","1.867696323","192.168.169.2","192.168.169.1","UDP","242","43880  >  8800 Len=116","ef027400020200010100000006000000080066808080804040990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00000500000000000000010000001c000000ffffffffffffffffffffffff"
"1130","1.892945504","192.168.169.2","192.168.169.1","UDP","214","43880  >  8800 Len=88","ef025800020200010000000006000000080066808080804040990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
