"No.","Time","Source","Destination","Protocol","Length","Info","Delta"
"340","3.822367491","192.168.169.2","192.168.169.1","UDP","130","59377  >  8800 Len=4","ef000400"
"351","3.921310099","192.168.169.2","192.168.169.1","UDP","130","59377  >  8800 Len=4","ef000400"
"352","3.921330702","192.168.169.2","192.168.169.1","UDP","130","59377  >  8800 Len=4","ef000400"
"419","3.941103621","192.168.169.2","192.168.169.1","UDP","214","59377  >  8800 Len=88","ef025800020200010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"420","3.941564869","192.168.169.2","192.168.169.1","UDP","214","59377  >  8800 Len=88","ef025800020200010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"444","3.946305333","192.168.169.2","192.168.169.1","UDP","214","59377  >  8800 Len=88","ef025800020200010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"529","3.967210781","192.168.169.2","192.168.169.1","UDP","214","59377  >  8800 Len=88","ef025800020200010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"532","3.993834723","192.168.169.2","192.168.169.1","UDP","258","59377  >  8800 Len=132","ef028400020200010200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00000100000000000000010000001c000000ffffffffffffffffffffffff02000000000000000300000010000000"
"533","3.994657931","192.168.169.2","192.168.169.1","UDP","258","59377  >  8800 Len=132","ef028400020200010200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00000100000000000000010000001c000000ffffffffffffffffffffffff02000000000000000300000010000000"
"538","3.996975178","192.168.169.2","192.168.169.1","UDP","258","59377  >  8800 Len=132","ef028400020200010200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00000100000000000000010000001c000000ffffffffffffffffffffffff02000000000000000300000010000000"
"540","3.998813193","192.168.169.2","192.168.169.1","UDP","132","59377  >  8800 Len=6","ef2006000165"
"546","4.009696353","192.168.169.2","192.168.169.1","UDP","151","59377  >  8800 Len=25","ef20190001673c693d325e62665f737369643d636d643d323e"
"547","4.009708005","192.168.169.2","192.168.169.1","UDP","151","59377  >  8800 Len=25","ef20190001673c693d325e62665f737369643d636d643d333e"
"548","4.010068289","192.168.169.2","192.168.169.1","UDP","151","59377  >  8800 Len=25","ef20190001673c693d325e62665f737369643d636d643d323e"
"549","4.010078658","192.168.169.2","192.168.169.1","UDP","151","59377  >  8800 Len=25","ef20190001673c693d325e62665f737369643d636d643d333e"
"552","4.011790663","192.168.169.2","192.168.169.1","UDP","151","59377  >  8800 Len=25","ef20190001673c693d325e62665f737369643d636d643d323e"
"553","4.011792435","192.168.169.2","192.168.169.1","UDP","151","59377  >  8800 Len=25","ef20190001673c693d325e62665f737369643d636d643d333e"
"557","4.018418232","192.168.169.2","192.168.169.1","UDP","258","59377  >  8800 Len=132","ef028400020200010200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00000100000000000000010000001c000000ffffffffffffffffffffffff02000000000000000300000010000000"
"558","4.019793797","192.168.169.2","192.168.169.1","UDP","258","59377  >  8800 Len=132","ef028400020200010200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00000100000000000000010000001c000000ffffffffffffffffffffffff02000000000000000300000010000000"
"559","4.020690952","192.168.169.2","192.168.169.1","UDP","258","59377  >  8800 Len=132","ef028400020200010200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00000100000000000000010000001c000000ffffffffffffffffffffffff02000000000000000300000010000000"
"562","4.022022737","192.168.169.2","192.168.169.1","UDP","258","59377  >  8800 Len=132","ef028400020200010200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00000100000000000000010000001c000000ffffffffffffffffffffffff02000000000000000300000010000000"
"566","4.044694350","192.168.169.2","192.168.169.1","UDP","258","59377  >  8800 Len=132","ef028400020200010200000001000000080066808080804040990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00000100000000000000010000001c000000ffffffffffffffffffffffff02000000000000000300000010000000"
